batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,elements_matrix,elements_kernel,hashkey
26,355,6,16,2,2,0,1,0,126025,36,"[26,355,6,16,2,2,0,1,0,126025,36]"
55,245,7,2,35,3,0,1,0,60025,49,"[55,245,7,2,35,3,0,1,0,60025,49]"
59,223,6,33,32,4,0,0,1,49729,36,"[59,223,6,33,32,4,0,0,1,49729,36]"
50,56,6,117,70,4,0,1,0,3136,36,"[50,56,6,117,70,4,0,1,0,3136,36]"
44,498,2,2,4,4,1,1,1,248004,4,"[44,498,2,2,4,4,1,1,1,248004,4]"
47,268,3,17,14,3,0,0,1,71824,9,"[47,268,3,17,14,3,0,0,1,71824,9]"
20,270,5,16,26,3,1,0,1,72900,25,"[20,270,5,16,26,3,1,0,1,72900,25]"
6,394,2,15,6,2,0,1,0,155236,4,"[6,394,2,15,6,2,0,1,0,155236,4]"
30,61,3,57,18,2,0,0,1,3721,9,"[30,61,3,57,18,2,0,0,1,3721,9]"
22,510,4,3,15,2,1,0,0,260100,16,"[22,510,4,3,15,2,1,0,0,260100,16]"
45,451,4,12,13,3,0,0,1,203401,16,"[45,451,4,12,13,3,0,0,1,203401,16]"
53,495,6,19,16,3,1,1,1,245025,36,"[53,495,6,19,16,3,1,1,1,245025,36]"
52,163,1,29,43,4,0,0,1,26569,1,"[52,163,1,29,43,4,0,0,1,26569,1]"
41,36,3,230,54,3,1,0,0,1296,9,"[41,36,3,230,54,3,1,0,0,1296,9]"
12,346,2,8,17,1,1,0,0,119716,4,"[12,346,2,8,17,1,1,0,0,119716,4]"
4,127,3,18,45,1,1,0,1,16129,9,"[4,127,3,18,45,1,1,0,1,16129,9]"
25,280,6,1,31,1,0,1,0,78400,36,"[25,280,6,1,31,1,0,1,0,78400,36]"
31,436,6,1,16,4,1,0,0,190096,36,"[31,436,6,1,16,4,1,0,0,190096,36]"
30,429,6,8,22,3,0,0,1,184041,36,"[30,429,6,8,22,3,0,0,1,184041,36]"
16,476,1,3,9,4,0,1,1,226576,1,"[16,476,1,3,9,4,0,1,1,226576,1]"
15,240,2,14,25,4,0,1,1,57600,4,"[15,240,2,14,25,4,0,1,1,57600,4]"
16,196,7,34,45,1,1,0,0,38416,49,"[16,196,7,34,45,1,1,0,0,38416,49]"
7,261,2,9,34,2,1,0,1,68121,4,"[7,261,2,9,34,2,1,0,1,68121,4]"
39,248,1,10,13,2,0,0,1,61504,1,"[39,248,1,10,13,2,0,0,1,61504,1]"
42,481,6,10,1,3,1,1,0,231361,36,"[42,481,6,10,1,3,1,1,0,231361,36]"
11,340,4,11,26,1,1,1,0,115600,16,"[11,340,4,11,26,1,1,1,0,115600,16]"
20,417,2,17,17,4,0,1,0,173889,4,"[20,417,2,17,17,4,0,1,0,173889,4]"
13,365,7,14,14,4,1,1,0,133225,49,"[13,365,7,14,14,4,1,1,0,133225,49]"
63,65,1,119,126,2,1,1,0,4225,1,"[63,65,1,119,126,2,1,1,0,4225,1]"
59,295,5,28,29,4,1,0,0,87025,25,"[59,295,5,28,29,4,1,0,0,87025,25]"
49,193,4,22,31,4,0,1,1,37249,16,"[49,193,4,22,31,4,0,1,1,37249,16]"
22,445,1,14,11,1,0,1,1,198025,1,"[22,445,1,14,11,1,0,1,1,198025,1]"
19,324,4,2,26,1,0,1,1,104976,16,"[19,324,4,2,26,1,0,1,1,104976,16]"
22,204,2,18,8,3,0,1,0,41616,4,"[22,204,2,18,8,3,0,1,0,41616,4]"
39,483,4,10,18,4,0,1,1,233289,16,"[39,483,4,10,18,4,0,1,1,233289,16]"
57,328,2,11,22,2,0,1,1,107584,4,"[57,328,2,11,22,2,0,1,1,107584,4]"
2,275,4,1,17,3,1,0,1,75625,16,"[2,275,4,1,17,3,1,0,1,75625,16]"
45,64,5,109,152,1,1,1,1,4096,25,"[45,64,5,109,152,1,1,1,1,4096,25]"
15,284,5,11,8,2,0,0,1,80656,25,"[15,284,5,11,8,2,0,0,1,80656,25]"
61,420,7,17,2,3,0,1,0,176400,49,"[61,420,7,17,2,3,0,1,0,176400,49]"
44,8,5,339,47,3,0,0,0,64,25,"[44,8,5,339,47,3,0,0,0,64,25]"
38,92,3,76,80,2,1,0,1,8464,9,"[38,92,3,76,80,2,1,0,1,8464,9]"
11,60,5,69,162,4,0,0,0,3600,25,"[11,60,5,69,162,4,0,0,0,3600,25]"
34,259,4,32,17,3,1,1,0,67081,16,"[34,259,4,32,17,3,1,1,0,67081,16]"
16,252,4,18,22,2,0,0,0,63504,16,"[16,252,4,18,22,2,0,0,0,63504,16]"
49,64,4,32,2,1,0,1,0,4096,16,"[49,64,4,32,2,1,0,1,0,4096,16]"
8,113,2,26,6,4,0,1,0,12769,4,"[8,113,2,26,6,4,0,1,0,12769,4]"
61,353,3,17,27,1,0,1,0,124609,9,"[61,353,3,17,27,1,0,1,0,124609,9]"
10,395,3,9,9,4,0,1,0,156025,9,"[10,395,3,9,9,4,0,1,0,156025,9]"
36,286,6,16,8,2,1,0,0,81796,36,"[36,286,6,16,8,2,1,0,0,81796,36]"
39,422,4,21,5,3,1,0,1,178084,16,"[39,422,4,21,5,3,1,0,1,178084,16]"
63,195,5,7,9,4,1,0,0,38025,25,"[63,195,5,7,9,4,1,0,0,38025,25]"
9,125,5,63,21,3,1,0,0,15625,25,"[9,125,5,63,21,3,1,0,0,15625,25]"
12,49,3,7,15,3,1,1,0,2401,9,"[12,49,3,7,15,3,1,1,0,2401,9]"
48,202,5,42,27,3,1,1,1,40804,25,"[48,202,5,42,27,3,1,1,1,40804,25]"
32,428,3,9,12,3,0,1,0,183184,9,"[32,428,3,9,12,3,0,1,0,183184,9]"
37,258,4,34,26,3,0,0,1,66564,16,"[37,258,4,34,26,3,0,0,1,66564,16]"
33,289,2,14,11,1,1,0,0,83521,4,"[33,289,2,14,11,1,1,0,0,83521,4]"
5,83,2,89,115,3,1,1,0,6889,4,"[5,83,2,89,115,3,1,1,0,6889,4]"
24,362,5,11,3,3,1,1,0,131044,25,"[24,362,5,11,3,3,1,1,0,131044,25]"
43,223,5,18,19,2,0,0,1,49729,25,"[43,223,5,18,19,2,0,0,1,49729,25]"
18,343,6,21,4,2,1,0,0,117649,36,"[18,343,6,21,4,2,1,0,0,117649,36]"
17,419,5,17,19,1,0,0,0,175561,25,"[17,419,5,17,19,1,0,0,0,175561,25]"
41,229,2,38,26,4,0,0,0,52441,4,"[41,229,2,38,26,4,0,0,0,52441,4]"
38,233,4,37,7,2,0,0,0,54289,16,"[38,233,4,37,7,2,0,0,0,54289,16]"
25,450,7,9,3,2,1,1,0,202500,49,"[25,450,7,9,3,2,1,1,0,202500,49]"
57,243,7,2,35,1,1,1,0,59049,49,"[57,243,7,2,35,1,1,1,0,59049,49]"
13,167,6,14,13,1,0,1,1,27889,36,"[13,167,6,14,13,1,0,1,1,27889,36]"
62,284,4,5,14,3,0,0,1,80656,16,"[62,284,4,5,14,3,0,0,1,80656,16]"
18,72,7,41,53,4,1,0,0,5184,49,"[18,72,7,41,53,4,1,0,0,5184,49]"
17,81,3,11,69,2,1,1,0,6561,9,"[17,81,3,11,69,2,1,1,0,6561,9]"
59,70,3,8,91,4,1,1,1,4900,9,"[59,70,3,8,91,4,1,1,1,4900,9]"
38,137,3,5,58,3,0,1,1,18769,9,"[38,137,3,5,58,3,0,1,1,18769,9]"
2,485,7,13,13,2,1,1,0,235225,49,"[2,485,7,13,13,2,1,1,0,235225,49]"
13,205,6,47,2,4,0,0,0,42025,36,"[13,205,6,47,2,4,0,0,0,42025,36]"
50,74,4,9,78,3,0,0,1,5476,16,"[50,74,4,9,78,3,0,0,1,5476,16]"
23,214,1,8,35,2,0,1,1,45796,1,"[23,214,1,8,35,2,0,1,1,45796,1]"
19,432,3,6,21,3,0,0,0,186624,9,"[19,432,3,6,21,3,0,0,0,186624,9]"
24,164,1,15,58,4,0,0,1,26896,1,"[24,164,1,15,58,4,0,0,1,26896,1]"
11,84,6,100,77,4,0,0,0,7056,36,"[11,84,6,100,77,4,0,0,0,7056,36]"
20,179,5,39,44,3,1,1,1,32041,25,"[20,179,5,39,44,3,1,1,1,32041,25]"
21,107,3,22,86,4,1,0,0,11449,9,"[21,107,3,22,86,4,1,0,0,11449,9]"
19,71,6,76,31,1,0,1,1,5041,36,"[19,71,6,76,31,1,0,1,1,5041,36]"
15,503,4,15,9,1,1,1,1,253009,16,"[15,503,4,15,9,1,1,1,1,253009,16]"
25,62,6,27,93,4,0,1,0,3844,36,"[25,62,6,27,93,4,0,1,0,3844,36]"
53,441,5,6,11,2,0,1,0,194481,25,"[53,441,5,6,11,2,0,1,0,194481,25]"
33,227,5,8,31,4,0,1,0,51529,25,"[33,227,5,8,31,4,0,1,0,51529,25]"
39,267,3,1,30,2,1,1,1,71289,9,"[39,267,3,1,30,2,1,1,1,71289,9]"
19,324,7,20,25,4,0,1,0,104976,49,"[19,324,7,20,25,4,0,1,0,104976,49]"
24,463,5,6,4,1,1,0,0,214369,25,"[24,463,5,6,4,1,1,0,0,214369,25]"
3,143,4,29,15,4,1,0,0,20449,16,"[3,143,4,29,15,4,1,0,0,20449,16]"
13,312,6,28,24,1,1,1,0,97344,36,"[13,312,6,28,24,1,1,1,0,97344,36]"
48,200,5,29,24,1,0,1,1,40000,25,"[48,200,5,29,24,1,0,1,1,40000,25]"
21,88,4,91,24,4,1,0,1,7744,16,"[21,88,4,91,24,4,1,0,1,7744,16]"
55,3,2,2666,96,1,0,0,0,9,4,"[55,3,2,2666,96,1,0,0,0,9,4]"
24,505,5,4,15,3,0,0,0,255025,25,"[24,505,5,4,15,3,0,0,0,255025,25]"
26,359,6,22,10,3,1,1,1,128881,36,"[26,359,6,22,10,3,1,1,1,128881,36]"
25,52,2,28,173,2,0,1,1,2704,4,"[25,52,2,28,173,2,0,1,1,2704,4]"
43,364,4,21,3,2,1,1,0,132496,16,"[43,364,4,21,3,2,1,1,0,132496,16]"
21,503,3,4,18,4,0,1,1,253009,9,"[21,503,3,4,18,4,0,1,1,253009,9]"
20,222,7,24,9,2,1,1,0,49284,49,"[20,222,7,24,9,2,1,1,0,49284,49]"
2,384,2,17,5,3,0,0,0,147456,4,"[2,384,2,17,5,3,0,0,0,147456,4]"
33,133,2,47,23,1,1,1,0,17689,4,"[33,133,2,47,23,1,1,1,0,17689,4]"
62,220,6,24,9,2,1,1,1,48400,36,"[62,220,6,24,9,2,1,1,1,48400,36]"
27,360,5,4,1,1,1,0,1,129600,25,"[27,360,5,4,1,1,1,0,1,129600,25]"
6,203,7,47,48,4,1,1,0,41209,49,"[6,203,7,47,48,4,1,1,0,41209,49]"
51,50,1,144,176,3,0,0,1,2500,1,"[51,50,1,144,176,3,0,0,1,2500,1]"
15,323,5,22,17,2,0,1,0,104329,25,"[15,323,5,22,17,2,0,1,0,104329,25]"
64,90,4,85,40,4,1,0,1,8100,16,"[64,90,4,85,40,4,1,0,1,8100,16]"
42,72,6,93,22,3,1,1,0,5184,36,"[42,72,6,93,22,3,1,1,0,5184,36]"
11,464,7,13,5,1,0,1,0,215296,49,"[11,464,7,13,5,1,0,1,0,215296,49]"
45,395,7,6,6,3,0,0,0,156025,49,"[45,395,7,6,6,3,0,0,0,156025,49]"
43,229,1,2,13,2,0,1,1,52441,1,"[43,229,1,2,13,2,0,1,1,52441,1]"
60,189,1,32,44,2,0,0,1,35721,1,"[60,189,1,32,44,2,0,0,1,35721,1]"
3,355,5,3,17,3,1,0,1,126025,25,"[3,355,5,3,17,3,1,0,1,126025,25]"
47,328,1,4,18,2,0,0,1,107584,1,"[47,328,1,4,18,2,0,0,1,107584,1]"
22,131,7,26,42,3,0,1,0,17161,49,"[22,131,7,26,42,3,0,1,0,17161,49]"
64,85,1,50,45,1,0,1,1,7225,1,"[64,85,1,50,45,1,0,1,1,7225,1]"
21,10,1,38,583,3,1,0,0,100,1,"[21,10,1,38,583,3,1,0,0,100,1]"
26,73,4,88,123,1,1,0,0,5329,16,"[26,73,4,88,123,1,1,0,0,5329,16]"
53,284,5,22,32,2,0,1,0,80656,25,"[53,284,5,22,32,2,0,1,0,80656,25]"
22,452,1,8,19,2,1,1,0,204304,1,"[22,452,1,8,19,2,1,1,0,204304,1]"
32,123,1,11,70,2,0,1,1,15129,1,"[32,123,1,11,70,2,0,1,1,15129,1]"
35,423,2,22,16,3,1,1,0,178929,4,"[35,423,2,22,16,3,1,1,0,178929,4]"
23,263,6,16,15,2,0,0,0,69169,36,"[23,263,6,16,15,2,0,0,0,69169,36]"
55,463,4,7,9,2,0,0,1,214369,16,"[55,463,4,7,9,2,0,0,1,214369,16]"
21,39,1,180,6,4,1,1,0,1521,1,"[21,39,1,180,6,4,1,1,0,1521,1]"
24,306,4,24,22,4,0,0,0,93636,16,"[24,306,4,24,22,4,0,0,0,93636,16]"
53,465,2,3,10,1,0,1,0,216225,4,"[53,465,2,3,10,1,0,1,0,216225,4]"
37,275,3,23,33,2,0,0,0,75625,9,"[37,275,3,23,33,2,0,0,0,75625,9]"
24,202,2,5,8,3,1,0,1,40804,4,"[24,202,2,5,8,3,1,0,1,40804,4]"
4,361,2,26,9,2,0,1,1,130321,4,"[4,361,2,26,9,2,0,1,1,130321,4]"
48,215,6,19,15,4,1,0,1,46225,36,"[48,215,6,19,15,4,1,0,1,46225,36]"
64,129,3,44,67,3,0,1,0,16641,9,"[64,129,3,44,67,3,0,1,0,16641,9]"
4,252,4,30,1,2,0,1,0,63504,16,"[4,252,4,30,1,2,0,1,0,63504,16]"
19,276,2,10,13,4,1,1,1,76176,4,"[19,276,2,10,13,4,1,1,1,76176,4]"
14,270,6,25,35,4,1,1,1,72900,36,"[14,270,6,25,35,4,1,1,1,72900,36]"
42,160,5,52,47,3,1,1,0,25600,25,"[42,160,5,52,47,3,1,1,0,25600,25]"
33,416,1,18,8,1,1,0,0,173056,1,"[33,416,1,18,8,1,1,0,0,173056,1]"
57,458,6,12,11,4,0,0,0,209764,36,"[57,458,6,12,11,4,0,0,0,209764,36]"
20,284,1,10,12,4,1,1,0,80656,1,"[20,284,1,10,12,4,1,1,0,80656,1]"
4,240,2,31,33,2,0,1,1,57600,4,"[4,240,2,31,33,2,0,1,1,57600,4]"
22,428,4,17,1,2,0,0,0,183184,16,"[22,428,4,17,1,2,0,0,0,183184,16]"
35,345,1,17,7,4,1,0,1,119025,1,"[35,345,1,17,7,4,1,0,1,119025,1]"
38,19,7,138,269,2,0,1,1,361,49,"[38,19,7,138,269,2,0,1,1,361,49]"
11,436,2,6,20,3,0,1,0,190096,4,"[11,436,2,6,20,3,0,1,0,190096,4]"
35,436,7,2,4,3,1,0,1,190096,49,"[35,436,7,2,4,3,1,0,1,190096,49]"
6,289,3,20,21,1,0,1,1,83521,9,"[6,289,3,20,21,1,0,1,1,83521,9]"
36,254,2,2,15,2,0,1,0,64516,4,"[36,254,2,2,15,2,0,1,0,64516,4]"
38,288,3,30,22,1,1,1,1,82944,9,"[38,288,3,30,22,1,1,1,1,82944,9]"
34,212,5,37,2,1,1,1,1,44944,25,"[34,212,5,37,2,1,1,1,1,44944,25]"
48,398,5,10,22,1,1,0,0,158404,25,"[48,398,5,10,22,1,1,0,0,158404,25]"
11,322,1,30,3,1,0,1,1,103684,1,"[11,322,1,30,3,1,0,1,1,103684,1]"
63,322,7,29,23,4,1,1,1,103684,49,"[63,322,7,29,23,4,1,1,1,103684,49]"
64,115,1,70,50,1,1,0,1,13225,1,"[64,115,1,70,50,1,1,0,1,13225,1]"
22,239,7,3,37,2,1,1,0,57121,49,"[22,239,7,3,37,2,1,1,0,57121,49]"
26,83,3,67,30,1,0,1,0,6889,9,"[26,83,3,67,30,1,0,1,0,6889,9]"
41,316,5,8,7,4,0,1,0,99856,25,"[41,316,5,8,7,4,0,1,0,99856,25]"
52,323,7,8,25,1,1,1,1,104329,49,"[52,323,7,8,25,1,1,1,1,104329,49]"
42,81,1,41,64,2,1,0,0,6561,1,"[42,81,1,41,64,2,1,0,0,6561,1]"
29,442,4,6,20,1,0,1,1,195364,16,"[29,442,4,6,20,1,0,1,1,195364,16]"
49,188,4,15,39,1,0,1,1,35344,16,"[49,188,4,15,39,1,0,1,1,35344,16]"
50,396,5,12,14,4,1,1,1,156816,25,"[50,396,5,12,14,4,1,1,1,156816,25]"
42,176,3,11,40,1,0,0,0,30976,9,"[42,176,3,11,40,1,0,0,0,30976,9]"
21,30,3,182,122,4,1,0,1,900,9,"[21,30,3,182,122,4,1,0,1,900,9]"
20,338,5,15,19,1,0,0,0,114244,25,"[20,338,5,15,19,1,0,0,0,114244,25]"
55,244,7,35,30,2,0,1,1,59536,49,"[55,244,7,35,30,2,0,1,1,59536,49]"
37,84,6,68,60,3,1,0,0,7056,36,"[37,84,6,68,60,3,1,0,0,7056,36]"
57,191,3,43,5,1,0,0,1,36481,9,"[57,191,3,43,5,1,0,0,1,36481,9]"
16,62,6,133,150,3,1,0,1,3844,36,"[16,62,6,133,150,3,1,0,1,3844,36]"
22,268,3,33,23,4,1,0,0,71824,9,"[22,268,3,33,23,4,1,0,0,71824,9]"
23,386,3,13,18,3,1,0,0,148996,9,"[23,386,3,13,18,3,1,0,0,148996,9]"
35,451,5,21,1,4,1,1,0,203401,25,"[35,451,5,21,1,4,1,1,0,203401,25]"
33,207,5,22,25,1,1,0,1,42849,25,"[33,207,5,22,25,1,1,0,1,42849,25]"
45,491,1,3,14,2,0,1,0,241081,1,"[45,491,1,3,14,2,0,1,0,241081,1]"
25,154,4,55,23,4,0,1,1,23716,16,"[25,154,4,55,23,4,0,1,1,23716,16]"
50,18,1,185,451,4,1,1,0,324,1,"[50,18,1,185,451,4,1,1,0,324,1]"
44,422,5,14,4,1,0,0,0,178084,25,"[44,422,5,14,4,1,0,0,0,178084,25]"
54,263,4,37,8,4,0,1,0,69169,16,"[54,263,4,37,8,4,0,1,0,69169,16]"
56,208,6,3,40,2,1,1,0,43264,36,"[56,208,6,3,40,2,1,1,0,43264,36]"
39,136,1,49,68,4,0,0,0,18496,1,"[39,136,1,49,68,4,0,0,0,18496,1]"
20,445,2,11,16,1,0,1,0,198025,4,"[20,445,2,11,16,1,0,1,0,198025,4]"
19,332,7,3,12,2,0,1,1,110224,49,"[19,332,7,3,12,2,0,1,1,110224,49]"
24,157,7,7,15,3,1,0,0,24649,49,"[24,157,7,7,15,3,1,0,0,24649,49]"
32,77,1,29,7,3,0,1,1,5929,1,"[32,77,1,29,7,3,0,1,1,5929,1]"
12,455,1,17,15,3,1,1,0,207025,1,"[12,455,1,17,15,3,1,1,0,207025,1]"
58,87,3,80,9,4,0,0,0,7569,9,"[58,87,3,80,9,4,0,0,0,7569,9]"
10,102,6,14,85,2,0,1,0,10404,36,"[10,102,6,14,85,2,0,1,0,10404,36]"
42,99,2,84,84,3,1,1,1,9801,4,"[42,99,2,84,84,3,1,1,1,9801,4]"
12,488,4,12,13,2,1,1,0,238144,16,"[12,488,4,12,13,2,1,1,0,238144,16]"
50,200,5,45,46,1,0,0,0,40000,25,"[50,200,5,45,46,1,0,0,0,40000,25]"
46,192,1,36,36,3,0,0,0,36864,1,"[46,192,1,36,36,3,0,0,0,36864,1]"
7,316,2,7,1,1,0,1,0,99856,4,"[7,316,2,7,1,1,0,1,0,99856,4]"
20,306,2,8,26,3,0,0,1,93636,4,"[20,306,2,8,26,3,0,0,1,93636,4]"
8,276,1,31,27,3,0,1,1,76176,1,"[8,276,1,31,27,3,0,1,1,76176,1]"
43,80,5,27,3,3,0,1,1,6400,25,"[43,80,5,27,3,3,0,1,1,6400,25]"
50,501,5,5,12,3,1,0,1,251001,25,"[50,501,5,5,12,3,1,0,1,251001,25]"
49,378,1,11,6,4,1,0,0,142884,1,"[49,378,1,11,6,4,1,0,0,142884,1]"
36,252,4,7,12,3,0,1,1,63504,16,"[36,252,4,7,12,3,0,1,1,63504,16]"
21,134,2,73,28,3,0,1,0,17956,4,"[21,134,2,73,28,3,0,1,0,17956,4]"
49,493,2,5,19,2,0,1,1,243049,4,"[49,493,2,5,19,2,0,1,1,243049,4]"
56,344,4,7,10,4,1,1,1,118336,16,"[56,344,4,7,10,4,1,1,1,118336,16]"
16,294,5,29,12,1,0,1,1,86436,25,"[16,294,5,29,12,1,0,1,1,86436,25]"
16,162,7,32,45,1,1,0,1,26244,49,"[16,162,7,32,45,1,1,0,1,26244,49]"
27,422,3,10,19,1,1,1,1,178084,9,"[27,422,3,10,19,1,1,1,1,178084,9]"
23,454,5,15,1,2,0,0,0,206116,25,"[23,454,5,15,1,2,0,0,0,206116,25]"
17,286,3,22,11,4,0,1,0,81796,9,"[17,286,3,22,11,4,0,1,0,81796,9]"
42,395,4,24,18,2,0,0,1,156025,16,"[42,395,4,24,18,2,0,0,1,156025,16]"
57,260,1,25,27,3,0,0,0,67600,1,"[57,260,1,25,27,3,0,0,0,67600,1]"
12,394,3,13,9,3,1,0,0,155236,9,"[12,394,3,13,9,3,1,0,0,155236,9]"
35,264,6,13,23,4,0,1,1,69696,36,"[35,264,6,13,23,4,0,1,1,69696,36]"
20,360,2,23,6,1,1,1,1,129600,4,"[20,360,2,23,6,1,1,1,1,129600,4]"
9,424,7,5,7,3,1,1,0,179776,49,"[9,424,7,5,7,3,1,1,0,179776,49]"
58,219,2,33,11,1,1,1,0,47961,4,"[58,219,2,33,11,1,1,1,0,47961,4]"
62,20,7,495,69,2,0,0,0,400,49,"[62,20,7,495,69,2,0,0,0,400,49]"
48,133,6,39,69,3,0,0,0,17689,36,"[48,133,6,39,69,3,0,0,0,17689,36]"
19,75,4,119,74,4,0,0,1,5625,16,"[19,75,4,119,74,4,0,0,1,5625,16]"
63,383,3,9,4,1,0,1,0,146689,9,"[63,383,3,9,4,1,0,1,0,146689,9]"
18,117,4,38,69,1,1,1,1,13689,16,"[18,117,4,38,69,1,1,1,1,13689,16]"
21,232,7,21,24,4,0,1,1,53824,49,"[21,232,7,21,24,4,0,1,1,53824,49]"
9,475,7,4,4,4,1,0,0,225625,49,"[9,475,7,4,4,4,1,0,0,225625,49]"
44,177,1,49,27,3,0,1,0,31329,1,"[44,177,1,49,27,3,0,1,0,31329,1]"
47,370,6,22,2,3,1,1,0,136900,36,"[47,370,6,22,2,3,1,1,0,136900,36]"
64,201,4,42,2,1,1,1,1,40401,16,"[64,201,4,42,2,1,1,1,1,40401,16]"
34,255,5,31,25,1,0,0,1,65025,25,"[34,255,5,31,25,1,0,0,1,65025,25]"
47,504,3,11,10,1,0,1,1,254016,9,"[47,504,3,11,10,1,0,1,1,254016,9]"
16,479,5,8,3,1,1,1,1,229441,25,"[16,479,5,8,3,1,1,1,1,229441,25]"
56,70,1,65,133,3,0,1,1,4900,1,"[56,70,1,65,133,3,0,1,1,4900,1]"
41,84,3,98,59,3,1,1,0,7056,9,"[41,84,3,98,59,3,1,1,0,7056,9]"
28,252,2,27,35,4,1,1,0,63504,4,"[28,252,2,27,35,4,1,1,0,63504,4]"
46,400,7,23,3,2,1,0,1,160000,49,"[46,400,7,23,3,2,1,0,1,160000,49]"
45,226,3,18,37,3,1,0,1,51076,9,"[45,226,3,18,37,3,1,0,1,51076,9]"
23,364,6,13,8,1,0,0,0,132496,36,"[23,364,6,13,8,1,0,0,0,132496,36]"
17,135,2,34,50,1,1,1,0,18225,4,"[17,135,2,34,50,1,1,1,0,18225,4]"
34,161,6,40,51,4,1,0,1,25921,36,"[34,161,6,40,51,4,1,0,1,25921,36]"
23,511,1,15,10,3,0,1,0,261121,1,"[23,511,1,15,10,3,0,1,0,261121,1]"
15,159,4,20,60,3,0,0,1,25281,16,"[15,159,4,20,60,3,0,0,1,25281,16]"
61,223,1,43,32,1,1,0,0,49729,1,"[61,223,1,43,32,1,1,0,0,49729,1]"
13,36,5,44,164,2,1,1,0,1296,25,"[13,36,5,44,164,2,1,1,0,1296,25]"
13,279,5,15,5,3,1,0,1,77841,25,"[13,279,5,15,5,3,1,0,1,77841,25]"
24,498,3,9,13,3,0,1,1,248004,9,"[24,498,3,9,13,3,0,1,1,248004,9]"
59,130,4,10,40,1,1,1,1,16900,16,"[59,130,4,10,40,1,1,1,1,16900,16]"
50,313,6,24,11,3,0,0,1,97969,36,"[50,313,6,24,11,3,0,0,1,97969,36]"
46,257,5,30,18,4,0,1,0,66049,25,"[46,257,5,30,18,4,0,1,0,66049,25]"
5,385,4,7,23,4,0,0,0,148225,16,"[5,385,4,7,23,4,0,0,0,148225,16]"
47,27,6,91,306,3,1,1,1,729,36,"[47,27,6,91,306,3,1,1,1,729,36]"
35,139,2,27,37,3,1,1,0,19321,4,"[35,139,2,27,37,3,1,1,0,19321,4]"
5,3,2,120,489,1,0,0,0,9,4,"[5,3,2,120,489,1,0,0,0,9,4]"
61,264,4,18,35,3,0,0,0,69696,16,"[61,264,4,18,35,3,0,0,0,69696,16]"
14,219,1,17,42,2,1,0,0,47961,1,"[14,219,1,17,42,2,1,0,0,47961,1]"
22,386,7,21,8,2,0,0,1,148996,49,"[22,386,7,21,8,2,0,0,1,148996,49]"
42,105,3,27,9,1,1,1,0,11025,9,"[42,105,3,27,9,1,1,1,0,11025,9]"
7,405,5,9,21,1,0,1,1,164025,25,"[7,405,5,9,21,1,0,1,1,164025,25]"
34,363,5,3,15,2,1,0,0,131769,25,"[34,363,5,3,15,2,1,0,0,131769,25]"
29,282,7,13,11,1,0,1,0,79524,49,"[29,282,7,13,11,1,0,1,0,79524,49]"
51,359,4,17,1,1,0,0,0,128881,16,"[51,359,4,17,1,1,0,0,0,128881,16]"
35,505,5,13,5,3,0,1,1,255025,25,"[35,505,5,13,5,3,0,1,1,255025,25]"
64,194,6,30,41,1,0,1,1,37636,36,"[64,194,6,30,41,1,0,1,1,37636,36]"
49,354,3,3,2,2,1,1,0,125316,9,"[49,354,3,3,2,2,1,1,0,125316,9]"
31,282,3,10,4,2,1,0,1,79524,9,"[31,282,3,10,4,2,1,0,1,79524,9]"
30,473,6,11,9,3,1,1,0,223729,36,"[30,473,6,11,9,3,1,1,0,223729,36]"
20,251,1,20,17,3,0,1,1,63001,1,"[20,251,1,20,17,3,0,1,1,63001,1]"
58,98,4,88,37,4,1,0,0,9604,16,"[58,98,4,88,37,4,1,0,0,9604,16]"
28,403,1,13,14,4,1,1,0,162409,1,"[28,403,1,13,14,4,1,1,0,162409,1]"
27,216,5,20,42,4,0,1,1,46656,25,"[27,216,5,20,42,4,0,1,1,46656,25]"
11,169,6,38,38,2,0,1,0,28561,36,"[11,169,6,38,38,2,0,1,0,28561,36]"
58,23,1,349,39,4,1,1,1,529,1,"[58,23,1,349,39,4,1,1,1,529,1]"
41,66,3,64,80,1,0,1,1,4356,9,"[41,66,3,64,80,1,0,1,1,4356,9]"
19,358,3,3,9,3,1,1,1,128164,9,"[19,358,3,3,9,3,1,1,1,128164,9]"
21,118,3,40,45,4,0,1,1,13924,9,"[21,118,3,40,45,4,0,1,1,13924,9]"
30,381,3,11,1,2,1,1,0,145161,9,"[30,381,3,11,1,2,1,1,0,145161,9]"
8,291,7,5,8,1,0,1,1,84681,49,"[8,291,7,5,8,1,0,1,1,84681,49]"
56,506,6,6,14,2,1,0,1,256036,36,"[56,506,6,6,14,2,1,0,1,256036,36]"
62,9,2,450,1085,4,0,0,0,81,4,"[62,9,2,450,1085,4,0,0,0,81,4]"
60,75,5,26,21,2,0,0,1,5625,25,"[60,75,5,26,21,2,0,0,1,5625,25]"
42,435,7,9,15,1,1,1,0,189225,49,"[42,435,7,9,15,1,1,1,0,189225,49]"
53,24,2,113,274,3,1,0,0,576,4,"[53,24,2,113,274,3,1,0,0,576,4]"
34,464,2,10,5,4,1,1,1,215296,4,"[34,464,2,10,5,4,1,1,1,215296,4]"
33,489,1,8,6,4,1,0,1,239121,1,"[33,489,1,8,6,4,1,0,1,239121,1]"
